model,miliage,price,number of insure,insurance payments,color,model year,miliage category
250,16156,45.9,1,587,белый,2020,10000-20000
250,27500,44.9,0,0,белый,2020,20000-30000
250,41612,44.0,0,0,белый,2021,40000-50000
35,4642,50.5,0,0,белый,2021,0-10000
250,35301,43.9,0,0,черный,2020,30000-40000
250,38218,37.89,2,16700,черный,2020,30000-40000
250,32443,40.5,2,6255,черный,2020,30000-40000
250,24953,43.9,1,2588,белый,2021,20000-30000
250,34628,43.99,1,394,белый,2021,30000-40000
35,13610,52.4,0,0,белый,2021,10000-20000
250,34274,46.5,0,0,белый,2020,30000-40000
35,13680,50.5,0,0,черный,2021,10000-20000
250,36930,41.8,0,0,синий,2021,30000-40000
250,48564,43.3,0,0,белый,2020,40000-50000
250,44646,42.75,0,0,белый,2020,40000-50000
250,19661,43.9,1,655,белый,2021,10000-20000
250,38537,44.5,1,0,белый,2021,30000-40000
250,40340,44.5,1,2567,черный,2020,40000-50000
250,26433,44.0,0,0,белый,2020,20000-30000
250,30670,45.5,0,0,серый,2021,30000-40000
250,32671,47.0,0,0,белый,2021,30000-40000
250,39269,44.5,1,0,белый,2021,30000-40000
35,43655,43.5,2,0,синий,2020,40000-50000
35,8359,53.99,1,937,черный,2021,0-10000
250,47045,44.0,0,0,белый,2021,40000-50000
35,33568,49.9,0,0,белый,2020,30000-40000
35,8725,54.0,0,0,белый,2020,0-10000
250,18812,48.0,0,0,серебристый,2021,10000-20000
250,26000,44.0,0,0,черный,2020,20000-30000
250,14305,46.5,0,0,белый,2020,10000-20000
35,45156,47.4,1,2442,серый,2020,40000-50000
35,15374,50.0,0,0,темно-синий,2021,10000-20000
250,47035,40.5,0,0,белый,2021,40000-50000
250,44966,44.0,1,1183,белый,2020,40000-50000
250,30388,42.4,0,0,темно-синий,2020,30000-40000
250,34500,46.0,2,750,белый,2020,30000-40000
35,17094,49.9,0,0,темно-синий,2021,10000-20000
250,20781,48.0,0,0,белый,2020,20000-30000
250,16357,46.9,1,0,белый,2020,10000-20000
250,41935,44.0,0,0,белый,2020,40000-50000
250,26142,47.0,1,754,белый,2021,20000-30000
250,30385,44.0,0,0,белый,2021,30000-40000
250,39457,44.9,2,3688,белый,2020,30000-40000
35,48907,47.5,1,0,белый,2021,40000-50000
35,42168,46.5,1,1659,черный,2021,40000-50000
250,42682,43.8,0,0,белый,2020,40000-50000
250,30810,46.0,0,0,белый,2020,30000-40000
250,22704,44.9,1,1414,белый,2020,20000-30000
250,33316,42.4,2,5401,белый,2020,30000-40000
35,10146,53.8,0,0,белый,2021,10000-20000
250,39049,45.5,0,0,белый,2021,30000-40000
250,32820,46.0,1,0,белый,2020,30000-40000
250,46844,45.9,0,0,черный,2020,40000-50000
35,34848,46.9,0,0,белый,2020,30000-40000
35,43399,49.5,0,0,черный,2020,40000-50000
250,31847,45.9,1,4950,темно-синий,2021,30000-40000
250,21750,46.6,0,0,белый,2020,20000-30000
250,45923,34.0,7,26254,белый,2020,40000-50000
250,29504,47.8,2,1752,белый,2021,20000-30000
250,16434,47.5,0,0,белый,2020,10000-20000
250,35399,39.5,1,4176,белый,2020,30000-40000
250,41276,43.5,2,1606,белый,2021,40000-50000
250,23639,46.5,1,0,белый,2020,20000-30000
35,35730,49.99,0,0,белый,2020,30000-40000
250,43175,46.6,3,3641,белый,2021,40000-50000
250,15729,42.9,1,6734,серый,2020,10000-20000
250,40377,43.3,2,3346,белый,2020,40000-50000
250,39212,41.6,1,0,белый,2020,30000-40000
35,20491,51.8,0,0,белый,2020,20000-30000
250,38562,45.5,1,0,белый,2020,30000-40000
250,27742,45.5,0,0,белый,2020,20000-30000
250,47225,42.5,1,1760,белый,2020,40000-50000
250,41320,45.5,0,0,белый,2021,40000-50000
250,22262,46.0,0,0,белый,2020,20000-30000
250,44377,42.8,1,1503,белый,2020,40000-50000
250,23737,45.5,0,0,белый,2020,20000-30000
250,42836,43.2,1,1343,белый,2020,40000-50000
35,30608,48.5,1,1198,черный,2021,30000-40000
250,41224,42.3,2,799,белый,2020,40000-50000
250,49028,42.5,3,2213,белый,2020,40000-50000
250,26147,46.5,0,0,черный,2020,20000-30000
35,43365,48.0,2,1754,серый,2020,40000-50000
250,39032,41.9,0,0,черный,2021,30000-40000
250,44300,34.9,0,0,белый,2021,40000-50000
250,49201,45.5,1,1088,белый,2021,40000-50000
250,22230,46.5,1,714,белый,2020,20000-30000
250,29154,43.39,2,1489,черный,2021,20000-30000
250,38407,43.3,1,720,белый,2020,30000-40000
250,23531,45.5,0,0,белый,2021,20000-30000
250,31565,44.7,0,0,белый,2020,30000-40000
250,34091,45.0,0,0,белый,2020,30000-40000
35,47520,47.5,1,2229,черный,2020,40000-50000
35,41749,46.9,4,6525,белый,2020,40000-50000
250,16427,43.8,1,2106,белый,2021,10000-20000
250,43643,41.5,2,0,белый,2020,40000-50000
250,33061,39.5,3,13146,белый,2021,30000-40000
250,28851,42.5,1,6638,серый,2020,20000-30000
